Nome,Adicionado em,Ano,Classificação,Filmes Ligados,Gêneros,ID,Minutagem,Prioridade,Próximos Filmes,Status,Título Original
Mad Max,5 de setembro de 2024 18:17,1979,,,"Ação, Ficção científica",38,,No,No,Não iniciada,Mad Max
Melhor É Impossível,5 de setembro de 2024 18:20,1997,,,"Comédia, Romance",39,,No,No,Não iniciada,As Good as It Gets
Não Olhe para Cima,5 de setembro de 2024 18:20,2021,,,"Comédia, Ficção científica",41,,No,No,Não iniciada,Don't Look Up
O Grande Truque,5 de setembro de 2024 18:20,2006,,,"Ficção científica, Thriller",47,,No,Yes,Não iniciada,The Prestige
Old Boy,5 de setembro de 2024 18:20,2003,,,"Ação, Thriller",52,,No,No,Não iniciada,Oldboy
Os 7 Samurais,5 de setembro de 2024 18:20,1954,,,"Aventura, Ação",54,,Yes,Yes,Não iniciada,Seven Samurai
O Primeiro Amor,5 de setembro de 2024 18:20,2010,,,"Comédia, Romance",57,,No,No,Não iniciada,Flipped
Platoon,5 de setembro de 2024 18:20,1986,,,"Ação, Guerra",58,,No,No,Não iniciada,Platoon
Rambo - Programado para Matar,5 de setembro de 2024 18:20,1982,,,"Ação, Thriller",60,,No,No,Não iniciada,First Blood
Resgate do Soldado Ryan,5 de setembro de 2024 18:20,1998,,,"Ação, Guerra",62,,No,No,Não iniciada,Saving Private Ryan
Senhor dos Anéis: Retorno do Rei,5 de setembro de 2024 18:20,2003,,Trilogia Senhor dos Anéis,"Aventura, Fantasia",64,,Yes,Yes,Não iniciada,The Lord of the Rings: The Return of the King
Soldado Anônimo,5 de setembro de 2024 18:20,2005,,,"Ação, Guerra",66,,No,No,Não iniciada,Jarhead
Sr. Ninguém,5 de setembro de 2024 18:20,2009,,,"Fantasia, Ficção científica",67,,No,No,Não iniciada,Mr. Nobody
Silêncio dos Inocentes,5 de setembro de 2024 18:20,1991,,,"Crime, Terror",68,,No,No,Não iniciada,The Silence of the Lambs
Touro Indomável,5 de setembro de 2024 18:20,1980,,,"Ação, Esporte",69,,No,No,Não iniciada,Raging Bull
Três Homens em Conflito,5 de setembro de 2024 18:20,1966,,,"Ação, Faroeste",71,,No,No,Não iniciada,"The Good, the Bad and the Ugly"
Um Estranho no Ninho,5 de setembro de 2024 18:20,1975,,,"Comédia, Drama",72,,No,No,Não iniciada,One Flew Over the Cuckoo's Nest
Vanilla Sky,5 de setembro de 2024 18:20,2001,,,"Ficção científica, Thriller",73,,No,No,Não iniciada,Vanilla Sky
Watchman,5 de setembro de 2024 18:31,2009,,,"Ação, Ficção científica",77,,No,No,Não iniciada,Watchmen
O Lobo de Wall Steet,6 de setembro de 2024 21:01,2013,,,"Comédia, Thriller",80,,No,No,Não iniciada,The Wolf of Wall Street
Sin City,13 de setembro de 2024 13:30,2005,,Quentin Tarantino,"Ação, Crime",83,,No,Yes,Não iniciada,Sin City
Um Sonho de Liberdade,21 de setembro de 2024 15:50,1994,,,"Drama, Thriller",87,,No,No,Não iniciada,The Shawshank Redemption
Os Infiltrados,21 de setembro de 2024 16:10,2006,,,"Crime, Thriller",91,,Yes,Yes,Não iniciada,The Departed
Donnie Darko,22 de setembro de 2024 07:05,2001,,,"Ficção científica, Thriller",93,,No,No,Não iniciada,Donnie Darko
Laranja Mecânica,3 de outubro de 2024 09:49,1972,,,"Crime, Ficção científica",95,,No,No,Não iniciada,A Clockwork Orange
Encontro Marcado,20 de outubro de 2024 22:15,1998,,,"Drama, Romance",97,,No,No,Não iniciada,Meet Joe Black
Amor a Toda Prova,15 de novembro de 2024 10:32,2011,,,"Drama, Romance",98,,No,No,Não iniciada,"Crazy, Stupid, Love."
Antes da Meia Noite,26 de novembro de 2024 13:46,2013,,Trilogia Antes,"Drama, Romance",105,,No,No,Não iniciada,Before Midnight
Jackie Brown,1 de fevereiro de 2025 21:47,1997,,Quentin Tarantino,"Crime, Thriller",121,,No,Yes,Não iniciada,Jackie Brown
À Prova de Morte,1 de fevereiro de 2025 21:47,2007,,Quentin Tarantino,"Ação, Terror",122,,No,Yes,Não iniciada,Death Proof
Operação Vingança,14 de abril de 2025 11:14,2025,,,"Ação, Thriller",127,,No,No,Não iniciada,The Amateur
Brilho Eterno de uma Mente sem Lembranças,15 de junho de 2025 19:11,2004,,,"Ficção científica, Romance",134,,Yes,Yes,Não iniciada,Eternal Sunshine of the Spotless Mind
Hora de Voltar,15 de junho de 2025 19:12,2004,,,"Comédia, Romance",135,,No,No,Não iniciada,Garden State
Rocky II,11 de julho de 2025 08:37,1979,,Rocky,"Ação, Esporte",141,,No,No,Não iniciada,Rocky II
Rocky III,11 de julho de 2025 08:38,1982,,Rocky,"Ação, Esporte",142,,No,No,Não iniciada,Rocky III
Rocky IV,11 de julho de 2025 08:38,1985,,Rocky,"Ação, Esporte",143,,No,No,Não iniciada,Rocky IV
Ruby Sparks,8 de agosto de 2025 09:38,2012,,,"Fantasia, Romance",145,,No,No,Não iniciada,Ruby Sparks
Requiem para um Sonho,21 de agosto de 2025 08:53,2000,,,"Drama, Terror",146,,No,No,Não iniciada,Requiem for a Dream
As linhas tortas de Deus,21 de agosto de 2025 08:59,2022,,,"Mistério, Thriller",147,,No,No,Não iniciada,God's Crooked Lines
O Regresso,5 de fevereiro de 2026 16:52,2015,,,"Aventura, Faroeste",154,,No,No,Não iniciada,The Revenant
A Loja da Esquina,18 de março de 2026 22:13,1940,,,"Comédia, Romance",155,,No,No,Não iniciada,The Shop Around the Corner
Não Me Abandone Jamais,30 de março de 2026 11:44,2010,,,"Ficção científica, Romance",158,,No,No,Não iniciada,Never Let Me Go
Desafio no Bronx,4 de agosto de 2026 23:28,1993,,,"Crime, Suspense",168,,No,Yes,Não iniciada,A Bronx Tale
Caminhos Perigosos,4 de agosto de 2026 23:29,1973,,,"Crime, Thriller",169,,No,Yes,Não iniciada,Mean Streets
Marty Supreme,17 de agosto de 2026 22:32,2025,,,"Drama, Esporte",170,,No,Yes,Não iniciada,Marty Supreme
Era uma Vez na América,17 de agosto de 2026 22:34,1984,,,"Crime, Thriller",171,,No,No,Não iniciada,Once Upon a Time in America
Amor a Flor da Pele,17 de agosto de 2026 22:35,2000,,,"Drama, Romance",172,,No,Yes,Não iniciada,In the Mood for Love
Cinema Paradiso,17 de agosto de 2026 22:36,1988,,,"Drama, Romance",173,,No,No,Não iniciada,Cinema Paradiso
O Setimo Selo,17 de agosto de 2026 22:38,1957,,,"Fantasia, Thriller",174,,No,No,Não iniciada,The Seventh Seal
O Dublê,5 de setembro de 2024 18:20,2024,,,"Ação, Comédia",43,1:00:00,No,No,Dropei,The Fall Guy
O Sexto Sentido,5 de setembro de 2024 18:20,1999,,,"Mistério, Terror",49,40:00,No,No,Dropei,The Sixth Sense
O Último Samurai,5 de setembro de 2024 18:20,2003,,,"Ação, Guerra",51,10:00,No,No,Dropei,The Last Samurai
Onde os Fracos Não Têm Vez,5 de setembro de 2024 18:20,2007,,,"Faroeste, Thriller",53,25:00,No,No,Dropei,No Country for Old Men
Meu Primeiro Amor,15 de novembro de 2024 10:34,1991,,,"Drama, Romance",99,31:00,No,No,Dropei,My Girl
